Date,Open,High,Low,Close,Volume,AdjustedClose
20220414,4600,4610,4530,4540,150659600,4540
20220418,4550,4580,4540,4550,82795100,4550
20220419,4550,4600,4540,4570,148475600,4570
20220420,4610,4870,4600,4850,404383100,4850
20220421,4850,4850,4760,4800,208253300,4800
20220422,4750,4850,4720,4750,174349500,4750
20220425,4700,4850,4670,4840,235752400,4840
20220426,4840,4980,4830,4940,262734300,4940
20220427,4900,4930,4850,4850,191955100,4850
20220428,4870,4930,4860,4870,193821200,4870
20220509,4750,4760,4530,4530,561600400,4530
20220510,4260,4530,4260,4530,435782800,4530
20220511,4550,4580,4480,4490,205233800,4490
20220512,4490,4490,4300,4320,207373600,4320
20220513,4250,4360,4250,4250,336711300,4250
20220517,4270,4520,4270,4450,272650400,4450
20220518,4500,4530,4430,4450,129716500,4450
20220519,4350,4460,4300,4440,132614900,4440
20220520,4440,4490,4410,4430,122101000,4430
20220523,4410,4440,4320,4330,175709000,4330
20220524,4320,4500,4320,4460,165758600,4460
20220525,4430,4450,4350,4350,138961700,4350
20220527,4500,4540,4440,4540,209962100,4540
20220530,4540,4540,4390,4430,193724500,4430
20220531,4470,4630,4450,4630,379626500,4630
20220602,4540,4600,4480,4480,225697500,4480
20220603,4530,4570,4510,4520,117643300,4520
20220606,4470,4510,4400,4430,157277700,4430
20220607,4460,4460,4400,4400,133318000,4400
20220608,4400,4470,4380,4470,150604000,4470
20220609,4500,4520,4480,4490,161768800,4490
20220610,4470,4470,4360,4400,222410400,4400
20220613,4260,4350,4260,4340,164017200,4340
20220614,4300,4410,4300,4360,150381800,4360
20220615,4360,4450,4360,4450,160729900,4450
20220616,4420,4530,4410,4430,240023000,4430
20220617,4370,4400,4350,4370,185763100,4370
20220620,4400,4410,4340,4400,95058800,4400
20220621,4430,4430,4380,4380,103964600,4380
20220622,4410,4410,4310,4320,106208500,4320
20220623,4300,4360,4300,4310,127600700,4310
20220624,4320,4350,4310,4340,66083900,4340
20220627,4310,4330,4270,4280,152449600,4280
20220628,4320,4330,4280,4300,161054900,4300
